ID_PRODUCTO;NOMBRE;TALLA;STOCK_ACTUAL_EN_APP;STOCK_REAL_FISICO
22;"TENI GUAYO LAMINE YAMAL MORADO ROSA ";"42";0;
22;"TENI GUAYO LAMINE YAMAL MORADO ROSA ";"43";0;
22;"TENI GUAYO LAMINE YAMAL MORADO ROSA ";"44";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"37";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"38";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"39";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"40";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"41";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"42";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"43";0;
25;"GUAYO NIKE PHANTOM GX 2 NEGRO VERDE MENTA  ";"44";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"37";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"38";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"39";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"40";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"41";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"42";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"43";0;
32;"GUAYO ADIDAS PREDATOR LE AGÜÉ AZUL-VERDE  ";"44";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"37";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"38";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"39";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"40";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"41";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"42";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"43";0;
33;"TENI GUAYO ADIDAS PREDATOR LEAGUE ROJO-BLANCO  ";"44";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"37";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"38";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"39";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"40";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"41";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"42";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"43";0;
34;"TENI GUAYO NIKE MERCURIAL VAPOR 15 ACADEMY TF ROSA  ";"44";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"37";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"38";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"39";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"40";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"41";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"42";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"43";0;
38;"FUTSAL NIKE GATO SUPREME FUCHSIA-AZUL  ";"44";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"37";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"38";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"39";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"40";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"41";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"42";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"43";0;
40;"GUAYO PREDATOR ELITE FG BECKAM ROSA";"44";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"37";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"38";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"39";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"40";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"41";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"42";0;
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"43";0;
